"filename", "language", "JSON", "JavaScript", "PowerShell", "Markdown", "comment", "blank", "total"
"c:\Users\HP\Downloads\Kia_Cron_Job\src\reports\open-ro-yearly.js", "JavaScript", 0, 151, 0, 0, 1, 25, 177
"c:\Users\HP\Downloads\Kia_Cron_Job\src\reports\operation-wise-analysis-advisor-report.js", "JavaScript", 0, 391, 0, 0, 0, 56, 447
"c:\Users\HP\Downloads\Kia_Cron_Job\src\reports\operation-wise-analysis-report.js", "JavaScript", 0, 335, 0, 0, 0, 49, 384
"c:\Users\HP\Downloads\Kia_Cron_Job\src\reports\paged-export.js", "JavaScript", 0, 260, 0, 0, 0, 49, 309
"c:\Users\HP\Downloads\Kia_Cron_Job\src\reports\psf-yearly.js", "JavaScript", 0, 129, 0, 0, 0, 21, 150
"c:\Users\HP\Downloads\Kia_Cron_Job\src\reports\report-actions.js", "JavaScript", 0, 239, 0, 0, 0, 47, 286
"c:\Users\HP\Downloads\Kia_Cron_Job\src\reports\report-metadata.js", "JavaScript", 0, 41, 0, 0, 0, 8, 49
"c:\Users\HP\Downloads\Kia_Cron_Job\src\reports\ro-billing.js", "JavaScript", 0, 170, 0, 0, 1, 27, 198
"c:\Users\HP\Downloads\Kia_Cron_Job\src\reports\rsa-report.js", "JavaScript", 0, 586, 0, 0, 0, 95, 681
"c:\Users\HP\Downloads\Kia_Cron_Job\src\reports\service-appointment.js", "JavaScript", 0, 384, 0, 0, 0, 55, 439
"c:\Users\HP\Downloads\Kia_Cron_Job\src\supabase\client.js", "JavaScript", 0, 13, 0, 0, 0, 4, 17
"c:\Users\HP\Downloads\Kia_Cron_Job\src\supabase\dedupe-relational-tables.js", "JavaScript", 0, 340, 0, 0, 0, 31, 371
"c:\Users\HP\Downloads\Kia_Cron_Job\src\supabase\materialized-views.js", "JavaScript", 0, 35, 0, 0, 0, 6, 41
"c:\Users\HP\Downloads\Kia_Cron_Job\src\supabase\migrate-json-to-relational.js", "JavaScript", 0, 77, 0, 0, 0, 15, 92
"c:\Users\HP\Downloads\Kia_Cron_Job\src\supabase\postgres.js", "JavaScript", 0, 56, 0, 0, 0, 11, 67
"c:\Users\HP\Downloads\Kia_Cron_Job\src\supabase\relational-store.js", "JavaScript", 0, 641, 0, 0, 0, 56, 697
"c:\Users\HP\Downloads\Kia_Cron_Job\src\supabase\report-store.js", "JavaScript", 0, 242, 0, 0, 0, 38, 280
"c:\Users\HP\Downloads\Kia_Cron_Job\src\telegram\client.js", "JavaScript", 0, 42, 0, 0, 0, 9, 51
"c:\Users\HP\Downloads\Kia_Cron_Job\src\telegram\inspect-updates.js", "JavaScript", 0, 35, 0, 0, 0, 7, 42
"c:\Users\HP\Downloads\Kia_Cron_Job\src\telegram\otp-provider.js", "JavaScript", 0, 82, 0, 0, 0, 19, 101
"c:\Users\HP\Downloads\Kia_Cron_Job\src\telegram\test-otp.js", "JavaScript", 0, 12, 0, 0, 0, 3, 15
"c:\Users\HP\Downloads\Kia_Cron_Job\src\utils\date-range.js", "JavaScript", 0, 120, 0, 0, 0, 21, 141
"c:\Users\HP\Downloads\Kia_Cron_Job\src\utils\execute-with-retry.js", "JavaScript", 0, 82, 0, 0, 0, 9, 91
"c:\Users\HP\Downloads\Kia_Cron_Job\src\utils\failure.js", "JavaScript", 0, 47, 0, 0, 0, 7, 54
"c:\Users\HP\Downloads\Kia_Cron_Job\src\utils\file-lock.js", "JavaScript", 0, 54, 0, 0, 0, 9, 63
"c:\Users\HP\Downloads\Kia_Cron_Job\src\utils\health.js", "JavaScript", 0, 18, 0, 0, 0, 3, 21
"c:\Users\HP\Downloads\Kia_Cron_Job\src\utils\logger.js", "JavaScript", 0, 61, 0, 0, 0, 10, 71
"c:\Users\HP\Downloads\Kia_Cron_Job\src\utils\network.js", "JavaScript", 0, 56, 0, 0, 0, 9, 65
"c:\Users\HP\Downloads\Kia_Cron_Job\src\utils\notifier.js", "JavaScript", 0, 96, 0, 0, 0, 12, 108
"c:\Users\HP\Downloads\Kia_Cron_Job\src\utils\otp.js", "JavaScript", 0, 29, 0, 0, 0, 8, 37
"c:\Users\HP\Downloads\Kia_Cron_Job\src\utils\retry.js", "JavaScript", 0, 22, 0, 0, 0, 5, 27
"c:\Users\HP\Downloads\Kia_Cron_Job\src\utils\runtime-dirs.js", "JavaScript", 0, 13, 0, 0, 0, 2, 15
"c:\Users\HP\Downloads\Kia_Cron_Job\src\utils\sleep.js", "JavaScript", 0, 3, 0, 0, 0, 1, 4
"Total", "-", 2292, 11025, 36, 770, 7, 1937, 16067
